,name,qid,measure,value
32,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",527433,map,0.016973270177981496
33,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",527433,recip_rank,0.029411764705882353
34,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",527433,ndcg_cut_10,0.0
35,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",527433,ndcg_cut_30,0.0
36,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1037798,map,0.01725731063496194
37,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1037798,recip_rank,0.016129032258064516
38,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1037798,ndcg_cut_10,0.0
39,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1037798,ndcg_cut_30,0.0
40,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",915593,map,0.3205771751829373
41,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",915593,recip_rank,0.3333333333333333
42,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",915593,ndcg_cut_10,0.31420497880501014
43,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",915593,ndcg_cut_30,0.2548813174611983
